Codice,Comune,Eta,Maschi,Femmine,Totale
015002,Abbiategrasso,1.0,121.0,116.0,237.0
015002,Abbiategrasso,2.0,118.0,118.0,236.0
015002,Abbiategrasso,3.0,119.0,126.0,245.0
015002,Abbiategrasso,4.0,127.0,111.0,238.0
015002,Abbiategrasso,5.0,148.0,114.0,262.0
015002,Abbiategrasso,6.0,111.0,112.0,223.0
015002,Abbiategrasso,7.0,129.0,133.0,262.0
015002,Abbiategrasso,8.0,146.0,142.0,288.0
015002,Abbiategrasso,9.0,161.0,143.0,304.0
015002,Abbiategrasso,10.0,156.0,129.0,285.0
015002,Abbiategrasso,11.0,155.0,169.0,324.0
015002,Abbiategrasso,12.0,182.0,163.0,345.0
015002,Abbiategrasso,13.0,165.0,154.0,319.0
015002,Abbiategrasso,14.0,178.0,171.0,349.0
015002,Abbiategrasso,15.0,214.0,167.0,381.0
015002,Abbiategrasso,16.0,183.0,177.0,360.0
015002,Abbiategrasso,17.0,170.0,196.0,366.0
015002,Abbiategrasso,18.0,181.0,181.0,362.0
015002,Abbiategrasso,19.0,193.0,185.0,378.0
015002,Abbiategrasso,20.0,179.0,178.0,357.0
015002,Abbiategrasso,21.0,194.0,163.0,357.0
015002,Abbiategrasso,22.0,177.0,145.0,322.0
015002,Abbiategrasso,23.0,158.0,143.0,301.0
015002,Abbiategrasso,24.0,174.0,164.0,338.0
015002,Abbiategrasso,25.0,171.0,153.0,324.0
015002,Abbiategrasso,26.0,186.0,156.0,342.0
015002,Abbiategrasso,27.0,167.0,147.0,314.0
015002,Abbiategrasso,28.0,183.0,136.0,319.0
015002,Abbiategrasso,29.0,155.0,131.0,286.0
015002,Abbiategrasso,30.0,144.0,150.0,294.0
015002,Abbiategrasso,31.0,166.0,172.0,338.0
015002,Abbiategrasso,32.0,189.0,181.0,370.0
015002,Abbiategrasso,33.0,175.0,162.0,337.0
015002,Abbiategrasso,34.0,180.0,166.0,346.0
015002,Abbiategrasso,35.0,177.0,184.0,361.0
015002,Abbiategrasso,36.0,186.0,177.0,363.0
015002,Abbiategrasso,37.0,185.0,171.0,356.0
015002,Abbiategrasso,38.0,200.0,167.0,367.0
015002,Abbiategrasso,39.0,209.0,183.0,392.0
015002,Abbiategrasso,40.0,191.0,188.0,379.0
015002,Abbiategrasso,41.0,193.0,207.0,400.0
015002,Abbiategrasso,42.0,206.0,219.0,425.0
015002,Abbiategrasso,43.0,203.0,194.0,397.0
015002,Abbiategrasso,44.0,199.0,202.0,401.0
015002,Abbiategrasso,45.0,214.0,209.0,423.0
015002,Abbiategrasso,46.0,206.0,216.0,422.0
015002,Abbiategrasso,47.0,227.0,223.0,450.0
015002,Abbiategrasso,48.0,244.0,228.0,472.0
015002,Abbiategrasso,49.0,267.0,275.0,542.0
015002,Abbiategrasso,50.0,291.0,282.0,573.0
015002,Abbiategrasso,51.0,282.0,248.0,530.0
015002,Abbiategrasso,52.0,259.0,291.0,550.0
015002,Abbiategrasso,53.0,264.0,276.0,540.0
015002,Abbiategrasso,54.0,249.0,272.0,521.0
015002,Abbiategrasso,55.0,273.0,287.0,560.0
015002,Abbiategrasso,56.0,276.0,279.0,555.0
015002,Abbiategrasso,57.0,295.0,292.0,587.0
015002,Abbiategrasso,58.0,253.0,265.0,518.0
015002,Abbiategrasso,59.0,289.0,306.0,595.0
015002,Abbiategrasso,60.0,271.0,301.0,572.0
015002,Abbiategrasso,61.0,239.0,254.0,493.0
015002,Abbiategrasso,62.0,236.0,239.0,475.0
015002,Abbiategrasso,63.0,230.0,206.0,436.0
015002,Abbiategrasso,64.0,233.0,206.0,439.0
015002,Abbiategrasso,65.0,191.0,223.0,414.0
015002,Abbiategrasso,66.0,202.0,197.0,399.0
015002,Abbiategrasso,67.0,163.0,167.0,330.0
015002,Abbiategrasso,68.0,186.0,200.0,386.0
015002,Abbiategrasso,69.0,155.0,195.0,350.0
015002,Abbiategrasso,70.0,170.0,184.0,354.0
015002,Abbiategrasso,71.0,146.0,163.0,309.0
015002,Abbiategrasso,72.0,152.0,183.0,335.0
015002,Abbiategrasso,73.0,149.0,204.0,353.0
015002,Abbiategrasso,74.0,147.0,190.0,337.0
015002,Abbiategrasso,75.0,128.0,190.0,318.0
015002,Abbiategrasso,76.0,131.0,183.0,314.0
015002,Abbiategrasso,77.0,138.0,178.0,316.0
015002,Abbiategrasso,78.0,169.0,188.0,357.0
015002,Abbiategrasso,79.0,96.0,144.0,240.0
015002,Abbiategrasso,80.0,91.0,152.0,243.0
015002,Abbiategrasso,81.0,95.0,137.0,232.0
015002,Abbiategrasso,82.0,104.0,128.0,232.0
015002,Abbiategrasso,83.0,114.0,152.0,266.0
015002,Abbiategrasso,84.0,94.0,159.0,253.0
015002,Abbiategrasso,85.0,106.0,132.0,238.0
015002,Abbiategrasso,86.0,75.0,156.0,231.0
015002,Abbiategrasso,87.0,64.0,117.0,181.0
015002,Abbiategrasso,88.0,54.0,86.0,140.0
015002,Abbiategrasso,89.0,42.0,73.0,115.0
015002,Abbiategrasso,90.0,39.0,75.0,114.0
015002,Abbiategrasso,91.0,26.0,46.0,72.0
015002,Abbiategrasso,92.0,27.0,58.0,85.0
015002,Abbiategrasso,93.0,17.0,40.0,57.0
015002,Abbiategrasso,94.0,12.0,28.0,40.0
015002,Abbiategrasso,95.0,12.0,21.0,33.0
015002,Abbiategrasso,96.0,3.0,15.0,18.0
015002,Abbiategrasso,97.0,5.0,19.0,24.0
015002,Abbiategrasso,98.0,1.0,11.0,12.0
015002,Abbiategrasso,99.0,0.0,8.0,8.0
015002,Abbiategrasso,100.0,0.0,4.0,4.0
015002,Abbiategrasso,999.0,16002.0,16707.0,32709.0
